"Date","TMAX","TMIN","TAVG"
"1985-01-23","-84","-155","-127"
"1985-01-24","-46","-175","-121"
"1985-01-25","-42","-155","-113"
"1985-01-26","-49","-143","-98"
"1985-01-28","-53","-136","-88"
"1985-01-29","-96","-139","-113"
"1985-01-30","-108","-210","-172"
"1985-01-31","-183","-273","-238"
"1985-02-01","-187","-284","-240"
"1985-02-02","-139","-238","-192"
"1985-02-03","-100","-187","-151"
"1985-02-04","-151","-202","-181"
"1985-02-05","-132","-198","-163"
"1985-02-06","-84","-155","-124"
"1985-02-07","-38","-136","-88"
"1985-02-08","-22","-81","-45"
"1985-02-09","-22","-147","-102"
"1985-02-10","-61","-143","-113"
"1985-02-11","-61","-159","-108"
"1985-02-12","2","-57","-24"
"1985-02-13","2","-96","-47"
"1985-02-14","13","-116","-61"
"1985-02-15","45","-77","-24"
"1985-02-16","13","-65","-21"
"1985-02-17","-2","-108","-56"
"1985-02-18","2","-112","-73"
"1985-02-19","6","-112","-49"
"1985-02-20","-18","-57","-43"
"1985-02-21","-29","-116","-73"
"1985-02-22","-26","-81","-63"
"1985-02-23","-42","-53","-48"
"1985-02-24","-2","-14","-12"
"1985-02-25","-6","-120","-56"
"1985-02-26","-42","-159","-115"
"1985-02-27","-26","-139","-98"
"1985-02-28","-18","-132","-90"
"1985-03-17","-10","-14","-12"
"1985-03-18","57","-29","7"
"1985-03-19","61","-42","-3"
"1985-03-20","49","-46","11"
"1985-03-21","21","-84","-42"
"1985-03-22","-38","-92","-64"
"1985-03-23","53","-53","-4"
"1985-03-24","96","-18","37"
"1985-03-25","53","-33","9"
"1985-03-26","-10","-69","-35"
"1985-03-27","-10","-100","-57"
"1985-03-28","-26","-124","-71"
"1985-03-29","-2","-65","-39"
"1985-03-31","64","-2","32"
"1985-04-01","76","-2","33"
"1985-04-02","108","13","61"
"1985-04-03","92","25","56"
"1985-04-04","25","-22","5"
"1985-04-05","76","-22","32"
"1985-04-06","108","9","57"
"1985-04-07","127","-10","62"
"1985-04-08","139","25","60"
"1985-04-09","139","6","71"
"1985-04-10","162","41","103"
"1985-04-11","112","33","67"
"1985-04-12","135","25","84"
"1985-04-13","162","13","84"
"1985-04-14","190","33","103"
"1985-04-15","206","53","121"
"1985-04-16","186","108","142"
"1985-04-17","151","49","96"
"1985-04-18","151","25","73"
"1985-04-22","17","-46","-12"
"1985-04-23","25","-65","-36"
"1985-04-24","37","-29","7"
"1985-04-25","13","-42","-26"
"1985-04-26","76","-26","22"
"1985-04-27","147","-26","62"
"1985-04-28","182","25","111"
"1985-04-29","190","53","128"
"1985-04-30","198","49","128"
"1985-05-01","217","53","141"
"1985-05-02","225","84","156"
"1985-05-03","202","88","131"
"1985-05-04","72","17","39"
"1985-05-06","194","64","150"
"1985-05-07","198","84","159"
"1985-05-08","194","53","131"
"1985-05-09","131","84","106"
"1985-05-10","57","37","47"
"1985-05-11","53","9","29"
"1985-05-12","61","-22","19"
"1985-05-13","112","-29","39"
"1985-05-14","154","-10","71"
"1985-05-15","135","9","63"
"1985-05-16","182","57","114"
"1985-05-17","167","37","81"
"1985-05-18","167","37","102"
"1985-05-19","190","29","106"
"1985-05-20","162","72","112"
"1985-05-21","182","41","114"
"1985-05-22","167","64","129"
"1985-05-23","100","57","70"
"1985-06-27","198","100","162"
"1985-06-28","237","96","192"
"1985-06-29","249","116","198"
"1985-06-30","273","155","216"
"1985-07-01","265","159","216"
"1985-07-02","284","174","225"
"1985-07-03","296","143","213"
"1985-07-04","292","261","279"
"1985-07-05","308","210","271"
"1985-07-06","308","159","230"
"1985-07-07","281","171","234"
"1985-07-08","284","159","230"
"1985-07-09","300","171","238"
"1985-07-10","308","155","229"
"1985-07-11","281","202","239"
"1985-07-12","241","116","163"
"1985-07-13","253","104","158"
"1985-07-14","222","123","164"
"1985-07-15","288","186","242"
"1985-07-16","257","147","194"
"1985-07-17","261","151","191"
"1985-07-18","210","127","153"
"1985-07-19","249","112","176"
"1985-07-20","277","159","216"
"1985-07-21","245","136","188"
"1985-07-22","214","119","176"
"1985-07-23","186","123","147"
"1985-07-24","229","88","164"
"1985-07-25","261","100","189"
"1985-07-26","296","119","206"
"1985-07-27","245","143","189"
"1985-07-28","249","123","169"
"1985-07-29","237","108","163"
"1985-07-30","186","92","129"
"1985-07-31","249","64","144"
"1985-08-01","261","131","199"
"1985-08-02","171","96","130"
"1985-08-03","214","64","144"
"1985-08-04","257","88","177"
"1985-08-05","269","123","192"
"1985-08-06","265","119","196"
"1985-08-07","281","123","204"
"1985-08-08","214","119","161"
"1985-08-09","194","69","129"
"1985-08-10","245","49","159"
"1985-08-11","147","73","113"
"1985-08-12","174","26","112"
"1985-08-13","210","73","141"
"1985-08-14","222","53","137"
"1985-08-15","237","69","158"
"1985-08-16","218","112","162"
"1985-08-17","269","77","188"
"1985-08-18","253","136","191"
"1985-08-19","249","116","192"
"1985-08-20","249","116","167"
"1985-08-21","245","112","182"
"1985-08-22","222","84","157"
"1985-08-23","253","77","168"
"1985-08-24","273","92","191"
"1985-08-25","312","116","217"
"1985-08-26","312","159","245"
"1985-08-27","257","155","180"
"1985-08-28","273","127","196"
"1985-08-29","277","159","240"
"1985-08-30","277","151","228"
"1985-08-31","237","139","184"
"1985-09-01","253","108","171"
"1985-09-02","151","77","101"
"1985-09-03","218","77","150"
"1985-09-04","233","127","183"
"1985-09-05","186","112","154"
"1985-09-06","194","108","163"
"1985-09-07","194","64","126"
"1985-09-09","210","108","173"
"1985-09-10","198","77","132"
"1985-09-11","147","18","86"
"1985-09-12","81","22","47"
"1985-09-13","178","10","101"
"1985-09-14","214","69","141"
"1985-09-15","194","64","131"
"1985-09-16","186","33","106"
"1985-09-17","171","49","104"
"1985-09-18","96","49","68"
"1985-09-19","100","26","56"
"1985-09-20","147","10","78"
"1985-09-21","100","37","72"
"1985-09-22","84","6","48"
"1985-09-23","116","-10","56"
"1985-09-24","143","41","94"
"1985-09-25","136","14","73"
"1985-09-26","174","18","103"
"1985-09-27","159","18","86"
"1985-09-28","57","-29","7"
"1985-09-29","81","-61","9"
"1985-09-30","123","-41","41"
"1985-10-01","139","-10","68"
"1985-10-02","136","73","98"
"1985-10-03","136","45","93"
"1985-10-04","131","2","54"
"1985-10-06","123","69","90"
"1985-10-07","61","-33","13"
"1985-10-08","6","-69","-31"
"1985-10-09","41","-41","-8"
"1985-10-10","100","-22","49"
"1985-10-11","100","-14","44"
"1985-10-12","45","-18","18"
"1985-10-13","64","-41","0"
"1985-10-14","84","-41","17"
"1985-10-15","123","-10","53"
"1985-10-16","143","2","64"
"1985-10-17","127","14","63"
